Text,Class
നിനക്ക് വേണ്ടി വോട്ട് ചെയ്തവരെ തിരിഞ്ഞു കൊത്തുന്നു,Abusive
10 പേര് ഒള്ളോണ്ട് ആണെല്ലോ നീ ജയിച്ചേ,Abusive
തെറ്റ് പറ്റിയിട് ന്യായം പറഞ്ഞുനിക്കാൻ ഈ കൂട്ടരുടെ കഴിവ് വേറെ ആർക്കും ഇല്ല,Non-abusive
എനിക്ക് മനസ്സിലായ ഒരു കാര്യം ഇതിന്റെയൊക്കെ പിറകിൽ ആ സൂരജ് മാത്രം ആണ്. അവൻ ഡോക്ടർനെ കൊണ്ട് ഭ്രാന്തൻ എന്നും പിന്നെ ഡോക്ടർ inauguration നടത്തുമ്പോൾ ഉറക്കെ ഒച്ചയിടുന്നതും അതിനെപ്പറ്റിയൊക്കെ സൂരജ് ദിൽഷ കേൾക്കെ ഡോക്ടർനെ കളിയാക്കി പറയുന്നത് ഒക്കെ അവൾക്ക് വിഷമം വന്നിട്ടുണ്ടാവും. അവൾ ഡോക്ടർനെ കല്യാണം കഴിക്കാതിരിക്കാൻ പ്രധാനപ്പെട്ട ഒരു കാരണം അതായിരിക്കും. അവളുടെ അമ്മയും അച്ഛനും സഹോദരിമാരും മാത്രമായിരുന്നെങ്കിൽ ഈ ബന്ധം നല്ലൊരു രീതിയിൽ അവസാനിക്കുമായിരുന്നു. മൂത്ത സിസ്റ്ററിന്റെ husbendum നല്ലൊരു മനുഷ്യൻ ആണ്,Non-abusive
അടുത്തിരിക്കുന്നസ്വർ ബോഡി ഗാർഡ്‌സ് ആണോ. നിസഗം തരായി ഇരിക്കുന്നു മേലോട്ട് നോക്കി ബോംബ് വീഴുമോ എന്നും നോക്കുന്നു. ചിന്തപ്രബന്ധം പാഠ പുസ്തക മാക്കണം.കൂടാതെ ചിന്ത വരികയിൽ പ്രസിദ്കരിക്കണം അങ്ങിനെ ഒന്ന് ഇപ്പോൾ ഉണ്ടെങ്കിൽചിന്തേച്ചി ആകെ പതറിപ്പോയി.,Non-abusive
എന്റ്റെ പൊന്നണ്ണാ  ഈ രണ്ടു  കുതറകളെ കിട്ടിയൊള്ളോ,Abusive
കഞ്ചാവ് അല്ല ട്രോൾ ഉണ്ടാക്കാൻ തലയിൽ എന്തേലും വേണം സെച്ചി,Abusive
ഇവളെ ഒക്കെ വച്ചു പ്രോഗ്രാം നടത്തല്ലേ... കഷ്ടം... എത്ര മോശം സ്ത്രീ ആണ്,Abusive
ദില്ഷാ ഇത് ഞങ്ങളോട് വേണ്ടായിരുന്നു ഞങ്ങൾ നിങ്ങളെ ഇഷ്ടപെട്ടു എന്നാ തെറ്റ് ചെയ്തുള്ളു അതിന് ഇത്രയും വലിയ കാര്യം പറയണ്ടായിരുന്നു നമിച്ചു നിന്നെ,Non-abusive
ഒരാളുടെ ആത്മാർത്ഥമായ സ്നേഹം കിട്ടാനും ഒരു ഭാഗ്യം വേണം... റോബിൻ രക്ഷപെട്ടു,Non-abusive
ഇതൊക്കെ നേരത്തെ പറഞ്ഞിരുന്നെൽ ഈ പറയണ 100 ദിവസം നിക്കില്ലയിരുന്നു,Non-abusive
നിങ്ങൾ രണ്ടാളും എനിക്ക് മക്കളെ പോലെ. ശെരിയെന്ന് തോന്നുന്നത് ആലോചിച്ചു ചെയ്യുക ജഗതീശ്വരൻ അനുഗ്രഹിക്കട്ടെ,Non-abusive
ട്രോള് നിരോധിക്കലും ഒരു അടിച്ചമർത്തലല്ലേ ? ചേച്ചീ?,Non-abusive
ലേശം ഉളുപ്പ്.. വലിയ സംഭവന്ന വിചാരം.... ഈ നാട്ടുകാരെ പറ്റിച്ച പൈസക് നക്കിയിട്ട് ഇപ്പോ അവരെ കുറ്റം പറയുന്നു.. നിർത്തി പോടീ...,Abusive
മുന്നാക്കയുടെ ശാപം ആകും അതിന് ശേഷം നിങ്ങൾക്ക് നല്ല സമയ ദോഷം ഉണ്ട്,Abusive
ഇതുപോലെ ഉള്ള  ചവറുകളെ  ഒന്നും ഇ ഷോയിൽ  ഉൾപെടുത്തരുത്  പ്ലീസ്  അനുപ്,Abusive
ദിൽഷയുടെ ഫാൻസ് മാത്രം വിചാരിച്ചത് കൊണ്ടല്ല ദിലീസക്ക് കപ്പ് കിട്ടിയത് റോബിൻ ഹാൻസും കൂടെ വിചാരിച്ചത് കൊണ്ട് തന്നെ കപ്പ് കിട്ടിയത് അത് ഞങ്ങൾ എവിടെയും പറയും കാരണം ഡോക്ടർ അതുപോലെ പുറത്തുകടന്ന് പറഞ്ഞിട്ടുണ്ട് എല്ലാരും ദിൽഷയ്ക്ക് വേണ്ടി വോട്ട് ചെയ്യണം എനിക്ക് ദിൽഷ ജയിക്കുന്നതാണ് ഇഷ്ടം ഇപ്പോൾ എല്ലാം കഴിഞ്ഞപ്പോൾ ആ മനുഷ്യനെ തള്ളിപ്പറയുന്ന ശരിയല്ല പാലം കടക്കുന്നവരെ പൂരാ പാലം കടന്നപ്പോൾ നാരായണ കഷ്ടം തന്നെ,Non-abusive
എനിയും പയേ പോലെ ആകാൻ  ബില്ല  സമയം വേണ്ട  ഓർത്താൽ നന്ന്,Non-abusive
ഇവള് ആരാണ് എന്ന് അറിയാത്ത ഞാൻ,Non-abusive
ദിൽഷാമോളെ കൊള്ളാം നീയാണ് ഏറ്റവും നല്ല ഗെയിം പ്ലാൻ ഉള്ളവൾ പൊളിച്ചു കാര്യം കണ്ടു കഴിഞ്ഞപ്പോൾ കറിവേപ്പില ഇങ്ങനെ തന്നെ ആയിരിക്കണം ഇനി അങ്ങോട്ടും കേട്ടോനീ  ഇനി കളി കാണാൻ പോകുന്നതേയുള്ളൂ സ്വന്തം കുറ്റങ്ങൾ ആദ്യം മനസ്സിലാക്കുക കേട്ടോ എന്നിട്ട്,Non-abusive
ള്ളുപ്പില്ലെങ്കിൽ ജീവിതം എത്ര എളുപ്പം ല്ലേ?,Abusive
